國文,英文,數學,地理,歷史
82,89,69,97,100
99,63,78,76,50
58,56,92,90,89
95,90,63,89,97
78,56,52,67,72
96,81,78,67,96
92,71,80,80,75
70,100,71,100,75
96,75,52,61,83
83,83,61,70,83
67,55,97,60,75
75,82,70,77,93
92,67,94,68,63
52,91,96,59,72
63,90,92,92,78
65,80,61,100,60
59,71,79,64,54
83,81,83,59,97
86,84,51,98,98
74,60,60,59,85
96,89,92,83,73
93,90,50,91,99
80,72,51,68,82
94,88,61,88,50
87,78,81,80,79
57,71,95,54,94
62,72,84,86,54
51,56,59,84,88
64,70,74,75,69
63,74,73,99,63
91,81,99,51,78
89,81,77,53,85
81,65,80,83,60
77,91,89,63,60
62,56,57,99,55
79,86,71,91,66
71,97,92,90,79
86,71,62,94,82
71,54,87,51,86
95,88,53,51,80
91,70,79,90,61
70,69,54,80,88
51,61,71,89,57
95,57,91,99,82
50,86,95,61,66
99,86,97,68,68
93,77,54,73,94
69,66,88,65,75
85,99,59,60,57
66,79,78,92,58
